2.514604421867865872e-03,-2.642097265826037766e-03,1.280845300886564175e-02,2.098002343060794035e-03,-1.071338746322221883e-02,7.231901098189694871e-03,2.608000090260274503e-02,1.894161926258484258e-02,-1.407470471613985266e-02,-2.530842942092105183e-02,-1.246548925074704439e-02,8.265195869448719972e-04,-4.650061549277668960e-02,-4.375833278650914822e-03,-2.491821894506130244e-02,-1.464534709406903334e-02,-1.088517965714619860e-02,-6.326003127383091236e-03,8.232610727482657029e-03,2.085026738885355224e-02,-2.570693258880685315e-03,2.732926941099371801e-02,-1.330389346973227110e-02,7.030201401860394599e-03,1.806940363303617333e-02,1.880245955217491266e-03,-1.486998498707616835e-02,-1.843450752516839070e-02,-9.154516513346783180e-03,4.403902469400988035e-03
-2.019236367077471839e-02,-4.183511497434261317e-03,-3.184500198289554312e-03,1.081691169371615420e-02,4.293182450126818185e-03,7.107454180798428341e-03,-1.307657218836678903e-02,-2.592272673855389089e-03,1.567950940122659134e-02,2.986862290441521378e-02,-2.518131064208240302e-02,3.027847549478125330e-02,2.691750847564609167e-02,1.562622801400855022e-02,5.289112606586070763e-03,-6.278456290728555780e-03,2.916041367073917562e-02,3.920516632899929271e-02,3.603269739732250371e-02,2.630207529468740063e-02,7.147608213179119929e-03,-2.416637264564342955e-02,-8.908266240166457818e-05,1.312949870152671679e-02,-2.576722927499108806e-02,7.902441203640165127e-03,8.597273896444599869e-03,1.392085447925736977e-02,-2.368235933514378083e-02,-1.323405144078069855e-02
-8.728704942864425748e-03,-2.339603815545728341e-02,3.478735754260268292e-02,-9.918214568843038495e-03,6.579392589204042206e-03,-5.171450909478479685e-03,3.166945757604244099e-02,2.640721974163678237e-02,1.266705245649830426e-02,-4.407019761293301530e-02,1.040579485197730110e-03,1.367372381553069033e-02,2.007923151684339394e-02,-1.235814089415201641e-02,3.644022726656646893e-02,-2.640861940026587029e-02,-1.323056043630438210e-02,1.870099976228044303e-02,9.810922765062330894e-04,4.004785167290510206e-02,3.770383850249311476e-03,-1.266388180384453443e-02,-7.551270104656165362e-03,-2.182292235238390832e-02,-2.555360332773215851e-02,1.260822981536463723e-02,1.162331624825611517e-02,2.589117638882234076e-02,-1.509211582519862267e-02,3.378214904887346520e-02
-5.747754156173325892e-03,3.148816557689173429e-02,-8.655716943651935169e-03,-1.470966584684550195e-02,4.995707431173336890e-03,2.062906169738944542e-02,3.220191534306893286e-03,-1.171057648246673355e-02,-2.682439428153338135e-02,-2.803040429834855948e-02,1.005365699749731327e-02,1.979426066571609785e-02,-3.285891852505814191e-03,-2.148729716456869443e-02,1.746084305243413362e-02,-2.560787889429146438e-02,-1.426136190118544415e-02,1.242035707080197011e-02,-4.500282347149183598e-02,7.727391951326116962e-03,-1.163281672819006275e-02,2.185593949556277789e-03,-1.514030524416462272e-03,4.042287900879197073e-03,1.388343873414016327e-02,-1.516739501796818441e-02,2.841964044623832703e-02,1.452187577895529963e-02,1.687465324606536241e-02,2.329727962222056387e-02
1.575176443411738930e-02,1.688157361157184219e-02,1.511872214857702418e-03,-2.853547701979464515e-02,-2.700902000740278315e-03,-1.539029280353411411e-02,-2.845483537030827140e-02,5.169055818259751280e-03,-1.137098908295285093e-02,-2.059608876022927387e-02,-2.086002160143131043e-02,5.368341594178292937e-03,7.173438983406888771e-03,2.644914939533666437e-02,-2.782933704818746573e-04,2.083679518425644167e-02,2.804529653545044868e-02,2.300331272299384333e-02,-4.730607812553948993e-02,2.457367438406841964e-02,6.792400164972852740e-03,8.475427057066945574e-03,7.424548354725176748e-03,7.655143205415218359e-03,6.388284405047618859e-03,-7.178266170772409221e-03,-3.803270596751989058e-02,-2.178294558148464836e-03,-1.607463697041353057e-02,2.160326825075770465e-02
-5.775330119907550429e-03,1.669507122140197241e-03,-1.699211911220286156e-02,-1.021244935796253479e-02,-2.306612337317355240e-04,-2.970750368527090568e-02,6.013702285892116514e-03,-2.121445068955018359e-03,-2.371439610010467672e-02,-4.796465730795542587e-02,1.026104267760610117e-02,-5.951680778866607485e-03,-1.060016826436316860e-02,-4.723092597058840651e-03,3.632951881762287727e-02,-9.960193811928638469e-04,1.732385259770842555e-03,-2.974145739350796125e-02,3.294678132712199753e-02,1.834975966888588439e-02,2.133869734010358094e-02,9.534546242335920725e-04,1.833309577649191655e-02,7.418936701888204782e-03,1.226378155718012460e-02,-3.043859168165806255e-03,-2.947775896083918226e-02,2.057708695606366364e-02,-3.869919273219413897e-02,-4.798733425160721204e-03
-4.090449767993217106e-03,-2.085720281969009188e-02,1.226246272673159506e-02,-4.006594028191367250e-03,-8.737366511945633338e-03,1.039683461955282461e-02,-9.531580811168276213e-03,2.777959949676617191e-02,7.029101523746277523e-03,-9.486659736688786079e-03,-3.888529951971088361e-02,-2.615506393802295021e-02,2.173661569536726804e-02,-1.012081262226848053e-03,-5.662501313590694550e-03,3.286503228485394140e-02,-2.565298488147796721e-02,-1.171315599682718790e-02,-9.451753535169681378e-03,1.172674563062600823e-02,-1.327070396608093922e-02,-1.226835697228056271e-02,-3.210298793770226949e-02,1.458698808035713279e-02,1.612278717030043995e-02,-9.527534948023240469e-03,3.266798910825972815e-03,-2.585292245518683307e-02,-9.436263094818040861e-03,2.755901905445042391e-02
2.714614681342687307e-03,4.620726973591776643e-02,-1.574385484314315409e-02,1.160568833448615000e-02,-3.910116556662047126e-03,1.131635693656186242e-02,-1.442271931751299991e-04,-1.122396220818318302e-02,-1.735233528643405354e-02,6.132073478097793684e-02,-1.546901194484320624e-03,-4.033321380466490386e-02,-1.297201215806669319e-02,1.356079454247994219e-02,-1.000016866369496382e-02,2.720892404970515210e-02,2.004796545687915696e-02,-3.046772716484715850e-03,-9.444318855520867848e-03,-2.009602014055392877e-02,-1.399933084626649345e-02,-2.946286149331250187e-02,2.408792583066168835e-02,3.181401574252123998e-02,-2.512276139455466017e-02,-2.363365951372926529e-02,-3.537023714173834210e-02,-1.927708461464348183e-02,-6.212673602566583242e-02,-2.284557913263839113e-02
2.593830799601047621e-02,-6.913450589289299453e-03,1.709168469706816643e-02,-9.779381276840899348e-03,3.521334593986245876e-02,3.984359660277140072e-03,-7.640045842869610734e-03,5.104848050742161886e-02,-6.489437125708783470e-03,-2.442446699452272343e-02,4.038200039202198381e-03,-7.767007711615946108e-04,2.132649106332514324e-02,-1.843267848995622585e-02,1.609433862958995279e-02,1.705496941148582427e-02,-1.335374583870141060e-02,3.264880114453553358e-03,-1.661503913708674979e-02,4.691616147681335752e-02,-1.408279124560333877e-02,-9.061488873374283839e-03,-2.131676043926749448e-02,-6.922425503463468244e-03,-1.175205339380845009e-04,1.535578270689373116e-02,-1.220973292131398782e-02,-3.715479173431714133e-03,-2.832978732828084212e-02,-1.654804453532310315e-02
5.511615116551902421e-02,2.082486383389591661e-02,-1.562848083354629811e-02,-2.674794483056582711e-02,-1.951165661199316323e-02,-4.338171902747022142e-04,6.945557671838065205e-04,-1.488721201861712209e-02,-2.573148933475288488e-02,2.844757010496892780e-02,9.033709025901918641e-03,-7.491360391358705718e-03,-4.413224156321731914e-03,-1.059060918251338197e-02,-5.872090892034225601e-02,2.313236541852517914e-03,-2.141088819391531728e-02,-2.005368598065639107e-02,-1.280524810780747647e-02,1.464603429422594444e-02,-2.341061616815366328e-02,-2.868562919348244256e-02,1.279704150344756694e-02,1.508737809279101817e-02,-1.917867415588444049e-02,1.124795354585918401e-02,-5.832648608295042114e-03,6.025843531071202117e-03,-2.521920560131068328e-02,1.665788898721670339e-02
